F	จง	4.41456
F	zจง	2.84535
F	szจง	2.84535
F	งไ	3.21786
F	จงไ	1.11502
F	ไป	4.61975
F	งไป	4.54505
F	จงไป	2.88955
F	ปป	2.79189
F	ไปป	2.20178
F	งไปป	1.74647
F	ปร	2.14882
F	ปปร	1.22023
F	ไปปร	1.00124
F	รา	4.14404
F	ปรา	3.78317
F	ปปรา	1.84644
F	าส	4.26680
F	ราส	1.58977
F	ปราส	0.09079
F	าสา	3.07233
F	ราสา	0.71385
F	สาท	4.26375
F	าสาท	3.89139
F	ฉ	3.73209
F	ฉ้	-0.00000
F	้อ	3.59199
F	ฉ้อ	2.84535
F	ออ	2.30966
F	้ออ	1.55976
F	อั	2.75688
F	ออั	3.01685
F	้ออั	1.25163
F	ษ	4.47867
F	ัษ	2.15564
F	ฎ	3.56988
F	ษฎ	0.99833
F	ตว	1.87235
F	ัตว	0.99783
F	สัตว	0.56572
F	ว์	4.42126
F	ตว์	4.31670
F	ัตว์	4.31670
F	์ส	3.75960
F	ว์ส	2.55772
F	ตว์ส	2.39086
F	สี	2.23340
F	์สี	1.40822
F	ว์สี	-0.00000
F	สี่	4.30525
F	์สี่	1.73604
F	่ต	3.46402
F	ี่ต	3.58469
F	สี่ต	1.41956
F	ตี	4.39978
F	่ตี	3.34470
F	ี่ตี	2.28104
F	ีน	4.37157
F	ตีน	4.25306
F	นค	3.13147
F	ีนค	1.95083
F	คื	1.14945
F	นคื	1.03084
F	ือ	3.81682
F	คือ	4.59258
F	นคือ	4.22084
F	อล	3.72664
F	ือล	3.05416
F	คือล	1.76096
F	ลา	4.18215
F	อลา	3.48171
F	ือลา	1.54879
F	ลาท	2.70198
F	ท่	0.99233
F	าท่	0.32540
F	ท่า	2.22558
F	าท่า	1.86284
F	่าน	4.72042
F	ท่าน	4.26701
F	นใ	2.41501
F	านใ	2.00643
F	่านใ	1.40472
F	ใช	0.76012
F	นใช	0.60717
F	านใช	0.97095
F	าจ	3.78503
F	่าจ	1.98074
F	ค่าจ	0.11614
F	จ้	0.50889
F	าจ้	0.10000
F	่าจ้	0.05843
F	จ้า	4.23048
F	าจ้า	0.20188
F	จ้าง	2.60705
F	งช	3.51721
F	างช	3.09108
F	้างช	1.87586
F	ชั	2.59621
F	งชั	2.25497
F	างชั	0.60687
F	ั่	1.21726
F	ชั่	0.99628
F	งชั่	0.26015
F	ั่ว	4.33893
F	ชั่ว	3.67321
F	วค	3.30111
F	่วค	0.79148
F	ั่วค	0.60814
F	คร	4.15114
F	วคร	1.31207
F	่วคร	0.19591
F	ครา	2.48170
F	วครา	0.32381
F	ราว	4.71655
F	คราว	4.20539
F	ว1	4.32495
F	าว1	3.96641
F	ราว1	3.11259
F	1,	3.36786
F	ว1,	2.32193
F	าว1,	2.05881
F	8	4.39069
F	,8	2.40759
F	1,8	2.45469
F	3	4.64501
F	83	3.02972
F	,83	2.75000
F	38	1.42177
F	8,	3.32729
